s,a,r,sp
442,0,0,343
1370,2,-2,1369
1369,1,-2,1403
1403,0,0,1436
1436,0,0,1469
1469,0,0,1502
1502,2,-2,1501
1501,0,0,1501
1501,2,-2,1467
1467,0,0,1434
1434,1,-2,1435
1435,0,0,1435
1435,2,-2,1401
1401,1,-2,1402
1567,2,-2,1533
1533,1,-2,1534
1534,1,-2,1568
1568,2,-2,1567
1567,2,-2,1533
1533,1,-2,1534
1534,0,0,1534
1534,1,-2,1568
1568,0,0,1601
1601,1,-2,1668
1668,0,0,1734
1734,0,0,1800
1800,0,0,1866
1866,1,-2,1966
1966,0,0,2065
2065,0,0,2164
2164,0,0,0
1337,1,-2,1404
1404,0,0,1470
1470,0,0,1536
1536,0,0,1602
1602,0,0,1668
1668,0,0,1734
1734,0,0,1800
1800,2,-2,1832
1832,0,0,1865
1865,1,-2,1932
1932,2,-2,1964
1964,2,-2,1963
1963,0,0,1963
1963,0,0,1963
1963,1,-2,1997
1997,0,0,2030
1401,0,0,1368
1368,0,0,1335
1335,0,0,1302
1302,1,-2,1303
1303,0,0,1303
1303,0,0,1303
1303,0,0,1303
1303,2,-2,1269
1269,0,0,1236
1236,0,0,1203
1203,1,-2,1204
1204,1,-2,1238
1238,1,-2,1305
1305,0,0,1371
1371,0,0,1437
1437,0,0,1503
1333,0,0,1234
1234,1,-2,1169
1169,0,0,1103
1103,2,-2,1003
1003,1,-2,938
938,2,-2,838
838,0,0,0
1399,2,-2,1266
1266,0,0,1134
1134,1,-2,1036
1036,0,0,937
937,0,0,838
838,0,0,739
739,0,0,640
640,1,-2,0
1074,2,-2,1106
1106,2,-2,1105
1105,0,0,1105
1105,0,0,1105
1105,1,-2,1139
1139,1,-2,1206
1206,1,-2,1306
1306,1,-2,1439
1439,0,0,1571
1571,2,-2,1669
1669,0,0,1768
1768,0,0,1867
1867,1,-2,2000
2000,1,-2,0
1431,1,-2,1333
1333,1,-2,1268
1268,0,0,1202
1202,1,-2,1170
1170,0,0,1137
1137,0,0,0
1270,0,0,1270
1270,0,0,1270
1270,2,-2,1236
1236,2,-2,1169
1169,2,-2,1069
1069,1,-2,1004
1004,0,0,938
938,0,0,872
872,0,0,806
806,1,-2,774
774,0,0,741
741,2,-2,674
674,2,-2,0
1174,1,-2,1307
1307,0,0,1439
1439,1,-2,1605
1605,0,0,1770
1770,0,0,1935
1935,0,0,2100
2100,0,0,2265
2265,0,0,2430
2430,0,0,0
707,0,0,0
1205,0,0,1238
1238,0,0,1271
1271,1,-2,1338
1338,2,-2,1370
1370,2,-2,1369
1369,0,0,1369
1369,2,-2,1335
1335,0,0,1302
1302,1,-2,1303
1303,0,-1000,0
1730,1,-2,1698
1698,0,0,1665
1665,2,-2,1598
1598,0,0,1532
1532,1,-2,1500
1500,0,0,1467
1467,2,-2,1400
1400,0,0,1334
1334,0,0,1268
1268,0,0,1202
1202,1,-2,1170
1039,0,0,1039
1039,0,0,1039
1039,0,0,1039
1039,0,0,1039
1039,0,0,1039
1039,0,0,1039
1039,1,-2,1073
1073,0,0,1106
1106,1,-2,1173
1173,0,0,1239
1438,2,-2,1503
1503,2,-2,1535
1535,0,0,1568
1568,0,0,1601
1601,2,-2,1600
1600,2,-2,0
1867,1,-2,2000
2000,0,0,0
1761,0,0,1629
1629,1,-2,1531
1531,0,0,1432
1432,0,0,1333
1333,0,0,1234
1234,1,-2,1169
1169,0,0,1103
1103,0,0,1037
1037,0,0,0
1071,0,0,1038
1038,0,0,1005
1005,2,-2,938
938,2,-2,838
838,0,0,739
739,1,-2,674
674,0,0,608
608,1,-2,576
576,0,0,543
543,1,-2,544
544,0,0,544
544,0,0,544
544,2,-2,0
1035,1,-2,937
937,0,0,838
838,2,-2,0
1497,0,0,1365
1365,0,0,1233
1233,0,0,1101
1101,0,0,969
969,1,-2,871
871,2,-2,738
738,0,0,0
1436,0,0,1469
1469,0,0,1502
1502,0,0,1535
1535,0,0,1568
1568,2,-2,1567
1567,1,-2,1601
1601,0,0,1634
1634,0,0,1667
1667,1,-2,1734
1734,1,-2,1834
1834,0,0,1933
1933,0,0,2032
2032,2,-2,2097
2097,0,0,2163
2163,0,0,2229
2229,0,0,2295
2295,2,-2,0
1140,1,-2,1240
1240,2,-2,1305
1305,0,0,1371
1371,2,-2,1403
1403,2,-2,1402
1402,2,-2,1368
1368,0,0,1335
1335,1,-2,1336
1336,0,0,1336
1336,2,-2,1302
1037,0,0,971
971,0,0,905
905,0,0,839
839,0,0,773
773,0,0,707
707,0,0,0
1340,0,0,1472
1472,0,0,1604
1604,0,0,1736
1736,0,0,1868
1868,0,0,0
1469,2,-2,1468
1468,2,-2,1434
1434,1,-2,1435
1435,2,-2,1401
1401,1,-2,1402
1402,2,-2,1368
1368,2,-2,1301
1301,2,-2,1201
1201,0,0,1102
1102,0,0,0
1205,0,0,1238
1238,0,0,1271
1271,1,-2,1338
1338,0,0,1404
1404,1,-2,1504
1504,0,0,1603
1603,0,0,1702
1702,1,-2,1835
1835,0,0,1967
1967,0,0,2099
2099,0,0,0
1800,1,-2,1900
1900,1,-2,2033
2033,0,0,0
1073,0,0,1106
1106,0,0,1139
1139,0,0,1172
1172,1,-2,1239
1239,0,0,1305
1305,0,0,1371
1371,2,-2,1403
1403,1,-2,1470
1470,2,-2,1502
1502,0,0,1535
1535,0,0,1568
1568,0,0,1601
1633,0,0,1633
1633,2,-2,1599
1599,0,0,1566
1566,2,-2,1499
1499,1,-2,1467
1467,0,0,1434
1434,1,-2,1435
1435,1,-2,1469
1469,1,-2,1536
1536,0,0,1602
1602,1,-2,1702
1702,2,-2,1767
1436,1,-2,1503
1503,1,-2,1603
1603,2,-2,1668
1668,2,-2,1700
1700,2,-2,1699
1699,0,0,1699
1699,0,0,1699
1699,0,0,1699
1699,0,0,1699
1699,0,0,1699
1699,0,0,1699
1699,2,-2,1665
1665,0,0,1632
1632,0,0,1599
1599,0,0,1566
1566,2,-2,1499
1499,0,0,0
1104,2,-2,1037
1037,2,-2,937
937,0,0,838
838,1,-2,773
773,1,-2,741
741,0,0,708
708,2,-2,641
641,2,-2,541
541,0,0,442
442,0,0,343
343,1,-2,278
1267,2,-2,1134
1134,2,-2,968
968,2,-2,769
769,0,0,571
571,0,0,373
373,2,-2,141
141,0,0,0
1235,0,0,1169
1169,0,0,1103
1103,0,0,1037
1037,0,0,971
971,1,-2,939
939,0,0,906
906,2,-2,839
839,2,-2,739
739,0,0,0
1465,2,-2,1332
1332,2,-2,1166
1166,2,-2,967
967,1,-2,803
803,0,0,638
638,1,-2,507
507,1,-2,409
409,1,-2,344
344,0,0,0
940,1,-2,974
974,0,0,1007
1007,2,-2,1006
1006,1,-2,1040
1040,1,-2,1107
1107,2,-2,1139
1139,1,-2,1206
1206,1,-2,1306
1306,1,-2,1439
1439,2,-2,1537
1537,1,-2,0
1468,0,0,1468
1468,0,0,1468
1468,0,0,1468
1468,0,0,1468
1468,0,0,1468
1468,1,-2,1502
1502,1,-2,1569
1569,0,0,1635
1635,1,-2,1735
1735,0,0,1834
1834,2,-2,1899
1899,0,0,1965
1965,2,-2,1997
1997,0,0,2030
2030,2,-2,2029
1200,1,-2,1102
1102,1,-2,1037
1037,1,-2,1005
1005,0,0,972
972,2,-2,0
1369,0,0,1369
1369,0,0,1369
1369,2,-2,1335
1335,2,-2,1268
1268,0,0,1202
1202,2,-2,1102
1102,1,-2,1037
1037,1,-2,1005
1005,2,-2,938
938,1,-2,906
1535,0,0,1568
1568,0,0,1601
1601,1,-2,1668
1668,0,0,1734
1734,2,-2,1766
1766,1,-2,1833
1833,1,-2,1933
1933,0,0,2032
2032,2,-2,2097
2097,1,-2,2197
2197,2,-2,2262
2262,1,-2,2362
2362,0,0,2461
2461,0,0,0
974,2,-2,973
973,1,-2,1007
1007,0,0,1040
1040,1,-2,1107
1107,0,0,1173
1173,0,0,1239
1239,1,-2,1339
1339,0,0,1438
1438,1,-2,1571
1571,0,0,1703
1703,2,-2,1801
1801,1,-2,1934
1934,0,0,0
1169,0,0,1103
1103,2,-2,1003
1003,2,-2,870
870,1,-2,772
772,2,-2,639
639,1,-2,541
541,0,0,442
442,0,0,0
1039,1,-2,1073
1073,1,-2,1140
1140,0,0,1206
1206,0,0,1272
1272,1,-2,1372
1372,0,0,1471
1471,0,0,1570
1570,1,-2,0
1828,0,0,1729
1729,0,0,1630
1630,1,-2,1565
1565,2,-2,1465
1465,2,-2,1332
1332,0,0,1200
1200,0,0,1068
1068,0,0,936
936,2,-2,770
770,1,-2,639
639,0,0,507
507,0,0,0
1665,2,-2,1598
1598,0,0,1532
1532,0,0,1466
1466,0,0,1400
1400,1,-2,1368
1368,1,-2,1369
1369,0,0,1369
1369,2,-2,1335
1335,0,0,1302
1302,1,-2,1303
1303,1,-2,1337
1337,2,-2,1336
1405,0,0,1504
1504,0,0,1603
1603,0,0,1702
1702,0,0,1801
1801,2,-2,1866
1866,0,0,0
970,0,0,871
871,0,0,772
772,0,0,673
673,2,-2,0
1299,2,-2,1133
1133,0,0,968
968,0,0,803
803,1,-2,672
672,1,-2,0
1633,0,0,1633
1633,0,0,1633
1633,1,-2,1667
1667,0,0,1700
1700,0,0,1733
1733,1,-2,1800
1800,0,0,1866
1866,0,0,1932
1932,1,-2,2032
2032,0,0,2131
1797,0,0,1764
1764,2,-2,1697
1697,0,0,1631
1631,2,-2,1531
1531,0,0,1432
1432,0,0,1333
1333,1,-2,1268
1268,2,-2,1168
1168,0,0,1069
1069,2,-2,936
936,0,0,804
804,1,-2,0
1235,0,0,1169
1169,0,0,1103
1103,0,0,1037
1037,1,-2,1005
1005,1,-2,1006
1006,0,0,1006
1006,0,0,1006
1006,0,0,1006
1006,0,0,0
1366,2,-2,1233
1233,0,0,1101
1101,0,0,969
969,2,-2,803
803,2,-2,604
604,0,0,406
406,2,-2,174
174,2,-2,0
1595,2,-2,1396
1396,0,0,1198
1198,0,0,1000
1000,0,0,802
802,1,-2,638
638,2,-2,0
1794,1,-2,1696
1696,0,0,1597
1597,0,0,1498
1498,0,0,1399
1399,0,0,1300
1300,1,-2,1235
1235,1,-2,1203
1203,0,0,1170
1170,1,-2,0
975,0,0,1041
1041,0,0,1107
1107,0,0,1173
1173,2,-2,1205
1205,0,0,1238
1238,0,0,1271
1271,2,-2,1270
1270,1,-2,1304
1304,2,-2,1303
1303,0,0,1303
1303,1,-2,1337
1337,0,0,1370
1370,0,0,1403
1798,2,-2,1764
1764,2,-2,1697
1697,0,0,1631
1631,0,0,1565
1565,2,-2,1465
1465,2,-2,1332
1332,2,-2,1166
1166,0,0,0
1563,0,0,1431
1431,0,0,1299
1299,1,-2,1201
1201,0,0,1102
1102,2,-2,969
969,2,-2,803
803,0,0,0
1339,0,0,1438
1438,1,-2,1571
1571,1,-2,1737
1737,2,-2,1868
1868,2,-2,1966
1966,1,-2,2099
2099,0,0,0
1404,0,0,1470
1470,1,-2,1570
1570,0,0,1669
1669,1,-2,1802
1802,2,-2,1900
1900,0,0,1999
1999,1,-2,2132
2132,2,-2,2230
2230,1,-2,0
1438,0,0,1537
1537,2,-2,1602
1602,2,-2,1634
1634,1,-2,1701
1701,2,-2,1733
1733,0,0,0
1567,0,0,1567
1567,0,0,1567
1567,1,-2,1601
1601,0,0,1634
1634,1,-2,1701
1701,0,0,1767
1767,2,-2,1799
1799,0,0,1832
1832,1,-2,1899
1899,1,-2,1999
1999,0,0,2098
2098,0,0,2197
2197,0,0,0
1335,2,-2,1268
1268,0,0,1202
1202,2,-2,1102
1102,0,0,1003
1003,1,-2,938
938,0,0,872
872,2,-2,772
772,0,0,673
673,0,0,574
574,0,0,475
475,2,-2,342
342,0,0,0
1369,2,-2,1335
1335,2,-2,1268
1268,1,-2,1236
1236,0,0,1203
1203,2,-2,1136
1136,0,0,1070
1070,0,0,1004
1004,0,0,938
938,0,0,872
872,0,0,806
806,0,0,740
740,0,0,0
1734,0,0,1800
1800,0,0,1866
1866,0,0,1932
1932,1,-2,0
1633,2,-2,1599
1599,2,-2,1532
1532,0,0,1466
1466,0,0,1400
1400,0,0,1334
1334,0,0,1268
1268,1,-2,1236
1236,0,0,1203
1203,1,-2,1204
1204,2,-2,1170
1170,2,-2,1103
1103,1,-2,1071
1071,0,0,1038
1038,1,-2,1039
1039,0,0,1039
908,0,0,941
941,0,0,974
974,0,0,1007
1007,1,-2,1074
1074,2,-2,1106
1106,0,0,1139
1139,0,0,1172
1172,0,0,1205
1205,1,-2,1272
1272,0,0,1338
1338,0,0,1404
1404,0,0,1470
1470,2,-2,1502
1502,0,0,1535
1535,2,-2,1534
1534,1,-2,1568
1568,0,0,1601
1273,2,-2,1338
1338,0,0,1404
1404,2,-2,1436
1436,1,-2,1503
1503,2,-2,1535
1535,0,0,1568
1568,2,-2,1567
1567,0,0,0
1436,1,-2,1503
1503,0,0,1569
1569,0,0,1635
1635,1,-2,1735
1735,2,-2,1800
1800,0,0,1866
1866,2,-2,1898
1898,0,0,1931
1931,0,0,1964
1964,2,-2,1963
1963,1,-2,1997
1997,2,-2,1996
1996,1,-2,2030
2030,0,0,2063
2063,0,0,2096
2096,2,-2,2095
2095,0,0,0
1401,2,-2,1334
1334,2,-2,1234
1234,0,0,1135
1135,0,0,1036
1036,2,-2,903
903,2,-2,737
737,0,0,572
572,0,0,0
1108,2,-2,1173
1173,1,-2,1273
1273,1,-2,1406
1406,1,-2,1572
1572,2,-2,1703
1703,0,0,1835
1835,2,-2,1933
1933,2,-2,1998
1998,0,0,0
1004,1,-2,972
972,2,-2,905
905,1,-2,873
873,1,-2,874
874,1,-2,908
908,1,-2,0
1272,1,-2,1372
1372,0,0,1471
1471,1,-2,1604
1604,2,-2,1702
1702,1,-2,1835
1835,1,-2,2001
2001,1,-2,2200
2200,1,-2,2432
2432,2,-2,0
1396,0,0,1198
1198,0,0,1000
1000,1,-2,836
836,1,-2,0
1236,0,0,1203
1203,1,-2,1204
1204,0,0,1204
1204,2,-2,1170
1170,0,0,1137
1137,2,-2,1070
1070,2,-2,970
970,1,-2,905
905,1,-2,873
873,1,-2,874
874,0,0,874
874,0,0,874
874,0,0,874
874,1,-2,908
908,0,0,941
941,0,0,974
974,0,0,1007
1007,2,-2,0
1335,0,0,1302
1302,2,-2,1235
1235,1,-2,1203
1203,0,0,1170
1170,2,-2,1103
1103,2,-2,1003
1003,1,-2,938
938,0,0,872
872,0,0,806
806,1,-2,774
774,0,0,741
741,0,0,708
1635,0,0,1701
1701,2,-2,1733
1733,0,0,1766
1766,1,-2,1833
1833,1,-2,1933
1933,0,0,0
1105,2,-2,1071
1071,0,0,1038
1038,1,-2,1039
1039,0,0,1039
1039,2,-2,1005
1005,1,-2,1006
1006,1,-2,1040
1040,0,0,1073
1073,2,-2,1072
1072,0,0,1072
1072,1,-2,1106
1071,0,0,1038
1038,0,0,1005
1005,0,0,972
972,0,0,939
939,0,0,906
906,1,-2,907
907,0,0,907
907,2,-2,873
873,0,0,840
840,0,0,807
807,1,-2,808
1468,0,0,1468
1468,2,-2,1434
1434,0,0,1401
1401,0,0,1368
1368,2,-2,1301
1301,0,0,1235
1235,1,-2,1203
1203,0,0,1170
1170,0,0,1137
1137,2,-2,1070
1070,0,0,1004
1004,0,0,938
938,1,-2,906
906,0,0,873
873,0,0,840
840,2,-2,0
1829,2,-2,1729
1729,1,-2,1664
1664,1,-2,1632
1632,0,0,1599
1599,2,-2,1532
1532,0,0,1466
1466,2,-2,1366
1366,0,0,1267
1267,0,0,1168
1168,0,0,1069
1069,2,-2,936
1633,0,0,1633
1633,1,-2,1667
1667,0,0,1700
1700,2,-2,1699
1699,2,-2,1665
1665,0,0,1632
1632,0,0,1599
1599,1,-2,1600
1600,2,-2,1566
1566,0,0,1533
1533,2,-2,1466
1466,1,-2,1434
1434,1,-2,1435
1435,1,-2,1469
1469,2,-2,1468
1468,0,0,1468
1468,2,-2,1434
1434,0,0,1401
1401,0,0,1368
1368,1,-2,1369
1270,1,-2,1304
1304,2,-2,1303
1303,1,-2,1337
1337,0,0,1370
1370,0,0,1403
1403,2,-2,1402
1402,0,0,1402
1402,1,-2,1436
1436,2,-2,1435
1435,0,0,1435
1732,0,0,1732
1732,0,0,1732
1732,0,0,1732
1732,2,-2,1698
1698,0,0,1665
1665,2,-2,1598
1598,0,0,1532
1532,1,-2,1500
1500,2,-2,1433
1433,2,-2,1333
1333,0,0,1234
1234,0,0,1135
1135,0,0,0
1140,2,-2,1172
1172,0,0,1205
1205,1,-2,1272
1272,0,0,1338
1338,0,0,1404
1404,0,0,1470
1470,2,-2,1502
1502,0,0,1535
1535,0,0,1568
1568,0,0,1601
1601,0,0,1634
1634,0,0,1667
1667,0,0,0
1532,2,-2,1432
1432,2,-2,1299
1299,2,-2,1133
1133,2,-2,934
934,2,-2,702
702,0,0,471
471,2,-2,0
1368,1,-2,1369
1369,0,0,1369
1369,2,-2,1335
1335,0,0,1302
1302,0,0,1269
1269,0,0,1236
1236,2,-2,1169
1169,0,0,1103
1103,2,-2,1003
1003,1,-2,938
938,0,0,872
1139,0,0,1172
1172,0,0,1205
1205,1,-2,1272
1272,2,-2,1304
1304,2,-2,1303
1303,0,0,1303
1303,2,-2,1269
1269,0,0,1236
1236,2,-2,1169
1169,1,-2,1137
1137,2,-2,1070
1070,0,0,1004
1302,0,0,1269
1269,1,-2,1270
1270,0,0,1270
1270,1,-2,1304
1304,2,-2,1303
1303,1,-2,1337
1337,0,0,1370
1370,0,0,1403
1403,0,0,1436
1436,2,-2,1435
1435,0,0,1435
1435,0,0,1435
1435,0,0,1435
1435,0,0,1435
1435,0,0,1435
1435,0,0,0
807,2,-2,740
740,1,-2,708
708,2,-2,641
641,1,-2,609
609,1,-2,0
1203,0,0,1170
1170,0,0,1137
1137,1,-2,1138
1138,0,0,1138
1138,1,-2,1172
1172,0,0,1205
1205,1,-2,1272
1272,0,0,1338
1338,0,0,1404
1404,0,0,1470
1470,0,0,0
1569,1,-2,1669
1669,0,0,1768
1768,2,-2,1833
1833,2,-2,1865
1865,0,0,1898
1898,2,-2,1897
1897,2,-2,0
1299,0,0,1167
1167,0,0,1035
1035,1,-2,937
937,0,0,838
838,0,0,0
1436,1,-2,1503
1503,0,0,1569
1569,0,0,1635
1635,1,-2,1735
1735,0,0,1834
1834,2,-2,1899
1899,2,-2,1931
1931,0,0,1964
1964,1,-2,2031
2031,2,-2,2063
2063,1,-2,2130
2130,1,-2,2230
2230,2,-2,2295
2295,1,-2,2395
2395,0,0,2494
2494,0,0,2593
2593,1,-2,0
1498,2,-2,1365
1365,1,-2,1267
1267,0,0,1168
1168,0,0,1069
1069,0,0,970
970,0,0,871
871,2,-2,738
738,1,-2,640
640,0,0,0
1373,1,-2,1539
1539,1,-2,1738
1738,1,-2,1970
1970,0,0,2201
2201,1,-2,0
1044,0,0,1209
1209,1,-2,1408
1408,0,0,1606
1606,0,0,1804
1804,2,-2,1968
1968,0,0,0
1303,1,-2,1337
1337,1,-2,1404
1404,2,-2,1436
1436,0,0,1469
1469,2,-2,1468
1468,0,0,1468
1468,0,0,1468
1468,0,0,1468
1468,0,0,1468
1468,2,-2,1434
1434,1,-2,1435
1435,2,-2,1401
1401,0,0,1368
1368,1,-2,1369
1369,0,0,1369
1369,0,0,1369
1369,2,-2,1335
1335,2,-2,1268
1268,0,0,1202
1202,0,0,1136
1136,2,-2,1036
1036,0,0,937
937,0,0,838
838,0,0,739
739,2,-2,606
606,0,0,474
474,1,-2,376
376,2,-2,0
1341,1,-2,1540
1540,2,-2,1704
1704,2,-2,1835
1835,2,-2,0
839,0,0,773
773,2,-2,673
673,0,0,0
1302,1,-2,1303
1303,0,0,1303
1303,2,-2,1269
1269,1,-2,1270
1270,0,0,1270
1270,0,0,1270
1270,2,-2,1236
1236,2,-2,1169
1169,0,0,1103
1103,0,0,1037
1037,1,-2,1005
1005,0,0,972
972,0,0,939
939,0,0,906
906,0,0,873
873,1,-2,874
874,0,0,874
874,0,0,874
874,2,-2,840
840,0,0,0
1302,0,0,1269
1269,0,0,1236
1236,0,0,1203
1203,2,-2,1136
1136,2,-2,1036
1036,0,0,937
937,0,0,838
838,2,-2,705
705,2,-2,539
539,2,-2,340
340,1,-2,0
1533,0,0,1500
1500,2,-2,1433
1433,2,-2,1333
1333,1,-2,1268
1268,0,0,1202
1202,2,-2,1102
1102,0,0,1003
1003,0,0,904
904,0,0,805
805,2,-2,672
672,0,0,540
540,0,0,0
973,1,-2,1007
1007,0,0,1040
1040,2,-2,1039
1039,0,0,1039
1039,2,-2,1005
1005,2,-2,938
938,1,-2,906
906,0,0,873
873,1,-2,874
874,0,0,874
874,0,0,874
874,1,-2,908
908,0,0,941
941,1,-2,1008
1008,0,0,1074
1074,0,0,1140
1140,1,-2,1240
1497,1,-2,1399
1399,2,-2,1266
1266,0,0,1134
1134,1,-2,1036
1036,0,0,937
937,1,-2,872
872,1,-2,0
1699,2,-2,1665
1665,1,-2,1666
1666,0,0,1666
1666,0,0,1666
1666,0,0,1666
1666,0,0,1666
1666,2,-2,1632
1632,0,0,1599
1599,2,-2,1532
1532,0,0,1466
1466,0,0,1400
1400,0,0,1334
1334,1,-2,1302
1302,0,-1000,0
1602,0,0,1668
1668,1,-2,1768
1768,0,0,1867
1867,0,0,1966
1966,2,-2,2031
2031,0,0,0
1004,1,-2,972
972,0,0,939
939,0,0,906
906,0,0,873
873,0,0,840
840,2,-2,0
1170,0,0,1137
1137,1,-2,1138
1138,2,-2,1104
1104,0,0,1071
1071,1,-2,1072
1072,0,0,1072
1072,1,-2,1106
1106,1,-2,1173
1173,2,-2,1205
1205,0,0,1238
1238,0,0,1271
1271,2,-2,1270
1600,1,-2,1634
1634,0,0,1667
1667,2,-2,1666
1666,1,-2,1700
1700,0,0,1733
1733,0,0,1766
1766,1,-2,1833
1833,0,0,1899
1899,2,-2,1931
1931,2,-2,1930
1930,1,-2,1964
1570,1,-2,1703
1703,1,-2,1869
1869,2,-2,2000
2000,0,0,2132
2132,1,-2,0
1337,0,0,1370
1370,0,0,1403
1403,1,-2,1470
1470,0,0,1536
1536,1,-2,1636
1636,0,0,1735
1735,0,0,1834
1834,1,-2,1967
1967,2,-2,2065
2065,0,0,2164
840,0,0,807
807,0,0,774
774,2,-2,707
707,0,0,641
641,0,0,575
575,2,-2,0
970,1,-2,905
905,2,-2,805
805,0,0,706
706,1,-2,0
1869,0,0,0
1766,0,0,1799
1799,0,0,1832
1832,0,0,1865
1865,1,-2,1932
1932,0,0,1998
1998,1,-2,2098
2098,2,-2,0
1336,1,-2,1370
1370,1,-2,1437
1437,0,0,1503
1503,1,-2,1603
1603,2,-2,1668
1668,2,-2,1700
1700,1,-2,1767
1767,1,-2,1867
1867,2,-2,1932
1932,0,0,0
1203,1,-2,1204
1204,2,-2,1170
1170,0,0,1137
1137,2,-2,1070
1070,0,0,1004
1004,1,-2,972
972,1,-2,973
973,1,-2,1007
1007,0,0,1040
1040,2,-2,1039
1039,2,-2,1005
1005,0,0,972
972,1,-2,973
973,2,-2,939
1632,0,0,1599
1599,0,0,1566
1566,0,0,1533
1533,0,0,1500
1500,2,-2,1433
1433,1,-2,1401
1401,1,-2,1402
1402,2,-2,1368
1368,0,0,1335
1335,0,0,1302
1302,0,0,1269
1269,0,0,1236
1236,2,-2,1169
1169,1,-2,1137
1438,0,0,1537
1537,0,0,1636
1636,0,0,1735
1735,2,-2,1800
1800,0,0,1866
1866,0,0,0
1042,2,-2,1107
1107,1,-2,1207
1207,0,0,1306
1306,0,0,1405
1405,0,0,1504
1504,2,-2,1569
1569,2,-2,1601
1601,0,0,1634
1634,1,-2,1701
1701,0,0,0
1271,0,0,1304
1304,2,-2,1303
1303,0,0,1303
1303,2,-2,1269
1269,0,0,1236
1236,2,-2,1169
1169,0,0,1103
1103,1,-2,1071
1071,1,-2,1072
1072,0,0,1072
1403,1,-2,1470
1470,0,0,1536
1536,0,0,1602
1602,0,0,1668
1668,0,0,1734
1734,2,-2,1766
1766,0,0,1799
1799,1,-2,1866
1866,1,-2,1966
1966,0,0,2065
2065,2,-2,2130
2130,1,-2,2230
2230,0,0,2329
2329,0,0,2428
2428,0,0,2527
1633,1,-2,1667
1667,1,-2,1734
1734,0,0,1800
1800,0,0,1866
1866,0,0,1932
1932,2,-2,1964
1964,0,0,1997
1997,0,0,2030
2030,1,-2,2097
2097,2,-2,2129
2129,0,0,2162
2162,2,-2,2161
2161,0,0,2161
2161,1,-2,2195
2195,0,0,2228
2228,2,-2,2227
1667,0,0,1700
1700,1,-2,1767
1767,2,-2,1799
1799,0,0,1832
1832,0,0,1865
1865,2,-2,1864
1864,0,0,1864
1864,0,0,1864
1864,0,0,1864
1864,2,-2,0
1701,0,0,1767
1767,0,0,1833
1833,0,0,1899
1899,0,0,1965
1965,0,0,0
1208,1,-2,1374
1374,2,-2,1505
1505,0,0,1637
1637,1,-2,1803
1803,0,0,1968
1968,0,0,0
1107,0,0,1173
1173,2,-2,1205
1205,0,0,1238
1238,1,-2,1305
1305,0,0,1371
1371,2,-2,1403
1403,0,0,1436
1436,0,0,1469
1469,1,-2,1536
1536,0,0,1602
1602,1,-2,1702
1702,2,-2,1767
1767,0,0,1833
1833,0,0,0
869,1,-2,738
738,2,-2,0
1335,0,0,1302
1302,2,-2,1235
1235,0,0,1169
1169,0,0,1103
1103,0,0,1037
1037,2,-2,937
937,2,-2,804
804,0,0,672
672,2,-2,506
506,2,-2,0
1106,2,-2,1105
1105,1,-2,1139
1139,2,-2,1138
1138,1,-2,1172
1172,0,0,1205
1205,2,-2,1204
1204,1,-2,1238
1238,1,-2,1305
1305,1,-2,1405
1405,1,-2,1538
1043,1,-2,1209
1209,0,0,1374
1374,1,-2,1573
1573,0,0,1771
1771,0,0,1969
1969,0,0,2167
2167,1,-2,2399
2399,2,-2,0
1464,0,0,1332
1332,0,0,1200
1200,0,0,1068
1068,0,0,936
936,0,0,804
804,0,0,672
672,0,0,0
1531,2,-2,1398
1398,1,-2,1300
1300,0,0,1201
1201,1,-2,1136
1136,0,0,1070
1070,1,-2,1038
1038,0,0,1005
1005,0,0,972
972,2,-2,0
1437,2,-2,1469
1469,0,0,1502
1502,1,-2,1569
1569,0,0,1635
1635,2,-2,1667
1667,1,-2,1734
1734,1,-2,1834
1834,0,0,1933
1933,1,-2,0
1272,0,0,1338
1338,0,0,1404
1404,0,0,1470
1470,0,0,1536
1536,1,-2,1636
1636,2,-2,1701
1701,0,0,1767
1767,0,0,1833
1833,2,-2,1865
1865,0,0,1898
1898,1,-2,0
1464,2,-2,1298
1298,2,-2,1099
1099,1,-2,935
935,0,0,770
770,2,-2,571
571,1,-2,407
407,0,0,0
1500,1,-2,1501
1501,0,0,1501
1501,0,0,1501
1501,0,0,1501
1501,1,-2,1535
1535,0,0,1568
1568,2,-2,1567
1567,2,-2,1533
1533,0,0,1500
1500,1,-2,1501
1501,1,-2,1535
1535,1,-2,1602
1602,0,0,1668
1668,1,-2,0
1470,2,-2,1502
1502,0,0,1535
1535,0,0,1568
1568,0,0,1601
1601,1,-2,1668
1668,0,0,1734
1734,2,-2,1766
1766,2,-2,0
1471,0,0,1570
1570,1,-2,1703
1703,2,-2,1801
1801,1,-2,1934
1934,2,-2,2032
2032,0,0,0
1596,0,0,1464
1464,2,-2,1298
1298,1,-2,1167
1167,1,-2,1069
1069,2,-2,936
936,0,0,804
804,1,-2,706
706,1,-2,0
1238,1,-2,1305
1305,0,0,1371
1371,0,0,1437
1437,0,0,1503
1503,0,0,1569
1569,2,-2,1601
1601,0,0,1634
1634,1,-2,1701
1701,1,-2,1801
1801,0,0,1900
1900,2,-2,1965
1965,1,-2,2065
2065,0,0,2164
2164,2,-2,2229
2229,1,-2,2329
2329,0,0,0
1499,0,0,1433
1433,2,-2,1333
1333,0,0,1234
