s,a,r,sp
804,1,-2,706
706,1,-2,641
641,0,0,575
575,1,-2,543
1042,2,-2,1107
1107,2,-2,1139
1139,1,-2,1206
1206,0,0,1272
1272,1,-2,1372
1372,0,0,1471
1471,2,-2,1536
1536,0,0,1602
1602,0,0,1668
1668,0,0,0
1463,2,-2,1264
1264,0,0,1066
1066,0,0,868
868,0,0,670
670,0,0,0
1896,0,0,1863
1863,2,-2,1796
1796,0,0,1730
1730,0,0,1664
1664,1,-2,1632
1632,2,-2,1565
1565,1,-2,1533
1533,0,0,1500
1500,1,-2,1501
1501,1,-2,1535
1535,2,-2,1534
1534,0,0,1534
1534,0,0,1534
1534,0,0,1534
1534,0,0,1534
1534,0,0,1534
1173,1,-2,1273
1273,2,-2,1338
1338,2,-2,1370
1370,1,-2,1437
1437,0,0,1503
1503,1,-2,1603
1603,1,-2,1736
1736,0,0,1868
1868,0,0,2000
2000,0,0,2132
2132,0,0,2264
2264,0,0,2396
1400,0,0,1334
1334,0,0,1268
1268,0,0,1202
1202,2,-2,1102
1102,0,0,1003
1003,0,0,904
904,1,-2,839
839,2,-2,739
739,1,-2,674
674,2,-2,574
574,1,-2,509
509,2,-2,0
1336,1,-2,1370
1370,0,0,1403
1403,0,0,1436
1436,0,0,1469
1469,1,-2,1536
1536,0,0,1602
1602,1,-2,1702
1702,0,0,1801
1801,1,-2,1934
1934,0,0,0
1630,0,0,1531
1531,0,0,1432
1432,1,-2,1367
1367,0,0,1301
1301,0,0,1235
1235,0,0,1169
1169,2,-2,1069
1069,0,0,970
970,0,0,871
871,0,0,0
1501,0,0,1501
1501,2,-2,1467
1467,0,0,1434
1434,0,0,1401
1401,0,0,1368
1368,0,0,1335
1335,2,-2,1268
1268,1,-2,1236
1236,1,-2,1237
1237,1,-2,1271
1271,0,0,1304
1304,0,0,1337
1337,0,0,1370
1370,0,0,1403
1403,2,-2,1402
1402,1,-2,1436
1436,0,0,1469
1336,1,-2,1370
1370,1,-2,1437
1437,0,0,1503
1503,0,0,1569
1569,1,-2,1669
1669,0,0,1768
1768,1,-2,1901
1901,0,0,0
1012,0,0,1210
1210,1,-2,1442
1442,0,0,1673
1673,0,0,1904
1904,0,0,0
1469,2,-2,1468
1468,2,-2,1434
1434,0,0,1401
1401,0,0,1368
1368,0,0,1335
1335,0,0,1302
1302,2,-2,1235
1235,2,-2,1135
1135,1,-2,0
1305,1,-2,1405
1405,2,-2,1470
1470,2,-2,1502
1502,1,-2,1569
1569,0,0,1635
1635,0,0,1701
1701,0,0,1767
1767,0,0,1833
1833,2,-2,1865
1865,0,0,1898
1466,0,0,1400
1400,0,0,1334
1334,1,-2,1302
1302,2,-2,1235
1235,0,0,1169
1169,0,0,1103
1103,0,0,1037
1037,0,0,971
971,0,0,905
905,1,-2,873
873,2,-2,806
806,1,-2,774
774,2,-2,0
1631,1,-2,1599
1599,2,-2,1532
1532,0,0,1466
1466,1,-2,1434
1434,0,0,1401
1401,2,-2,1334
1334,1,-2,1302
1302,2,-2,1235
1235,2,-2,1135
1135,2,-2,1002
1002,0,0,870
1172,0,0,1205
1205,0,0,1238
1238,0,0,1271
1271,1,-2,1338
1338,0,0,1404
1404,0,0,1470
1470,0,0,1536
1536,1,-2,1636
1636,0,0,1735
1735,0,0,1834
1834,1,-2,1967
1304,0,0,1337
1337,0,0,1370
1370,0,0,1403
1403,0,0,1436
1436,2,-2,1435
1435,0,0,1435
1435,1,-2,1469
1469,0,0,1502
1502,2,-2,1501
1501,1,-2,1535
1535,2,-2,1534
1534,2,-2,1500
1500,0,0,1467
1467,0,0,1434
1535,2,-2,1534
1534,0,0,1534
1534,2,-2,1500
1500,0,0,1467
1467,0,0,1434
1434,2,-2,1367
1367,2,-2,1267
1267,0,0,1168
1168,1,-2,0
1466,2,-2,1366
1366,1,-2,1301
1301,0,0,1235
1235,2,-2,1135
1135,0,0,1036
1036,1,-2,971
971,1,-2,939
939,2,-2,872
872,1,-2,840
840,0,0,807
807,0,0,774
774,1,-2,775
775,0,0,0
1536,0,0,1602
1602,2,-2,1634
1634,1,-2,1701
1701,0,0,1767
1767,1,-2,1867
1867,1,-2,2000
2000,1,-2,0
1204,0,0,1204
1204,2,-2,1170
1170,2,-2,1103
1103,1,-2,1071
